"age_years","log_hr","se","hr","hr_lcl","hr_ucl"
0.2,-0.223828260836806,0.133418164913266,0.799452419869981,0.615495364865953,1.03838990205095
0.424050632911392,-0.218528820439783,0.128965282291551,0.803700316114304,0.624189810276737,1.03483617881531
0.648101265822785,-0.213229380042761,0.124516071326951,0.807970783586201,0.633002517442446,1.03130203931338
0.872151898734177,-0.207929939645738,0.1200709401783,0.812263942218052,0.641934514779891,1.02778818810488
1.09620253164557,-0.202630499248715,0.115630359362698,0.816579912579501,0.650986741331271,1.02429544458115
1.32025316455696,-0.197330992283578,0.111195365671305,0.820918870527858,0.660159432328604,1.02082581719939
1.54430379746835,-0.192030855442737,0.10677072935938,0.825281403675727,0.669448202028166,1.01738923667215
1.76835443037975,-0.186729300902353,0.102362889914726,0.829668296449124,0.678846282492237,1.01399904497623
1.99240506329114,-0.181425539738714,0.0979782897183069,0.834080348832036,0.68834646318872,1.01066841410797
2.21645569620253,-0.176118783028108,0.0936233621390703,0.838518375669554,0.697941093658339,1.00741032835602
2.44050632911392,-0.170808241846825,0.0893045272142502,0.842983206876772,0.70762207853274,1.00423758477085
2.66455696202532,-0.165493127271151,0.0850281866114637,0.847475687655515,0.717380874983829,1.00116279400866
2.88860759493671,-0.160172650377376,0.080800717689539,0.851996678719153,0.727208493069296,0.998198381161228
3.1126582278481,-0.154846022241788,0.0766284664298628,0.8565470565257,0.737095499533651,0.995356586096408
3.33670886075949,-0.149512453940675,0.0725177389525342,0.861127713519462,0.747032025743065,0.992649462723708
3.56075949367089,-0.144171156550326,0.0684747912583949,0.865739558381456,0.757007780582811,0.9900888764571
3.78481012658228,-0.138821341147029,0.0645058167447728,0.870383516288864,0.767012069337049,0.987686498964944
4.00886075949367,-0.133462218807073,0.0606169309242101,0.875060529183762,0.777033819813267,0.985453799062932
4.23291139240506,-0.128093000606745,0.0568141526249873,0.879771556051395,0.787061617281844,0.983402028306414
4.45696202531646,-0.122712897622334,0.0531033807620679,0.884517573208257,0.797083750191922,0.981542199456261
4.68101265822785,-0.117321120930129,0.0494903655281239,0.889299574600257,0.807088269118034,0.979885055507527
4.90506329113924,-0.111916881606418,0.0459806725567956,0.894118572111245,0.81706306201036,0.978441026359989
5.12911392405063,-0.106499390727489,0.0425796382448879,0.898975595882183,0.826995949588017,0.977220169451042
5.35316455696203,-0.10106785936963,0.0392923139801261,0.903871694641275,0.836874805649213,0.976232089744784
5.57721518987342,-0.095621498609131,0.036123396506686,0.908807936045331,0.846687708182656,0.975485833367971
5.80126582278481,-0.090159519522279,0.0330771410866439,0.913785407032704,0.856423128434409,0.974989747920938
6.0253164556962,-0.0846811331853628,0.0301572535228491,0.918805214188102,0.866070166447811,0.974751301135039
6.2493670886076,-0.0791855506746706,0.0273667565833277,0.923868484119609,0.875618842900607,0.974776848248287
6.47341772151899,-0.073671983066491,0.0247078260654658,0.928976363848267,0.885060458025148,0.975071337515596
6.69746835443038,-0.0681396414371122,0.0221815919186087,0.934130021210536,0.894388028521556,0.975637943152283
6.92151898734177,-0.0625877368628227,0.0197879008987095,0.939330645274031,0.903596811891571,0.976477616497839
7.14556962025316,-0.0570154804199107,0.0175250396966122,0.944579446766867,0.912684923446827,0.977588550367219
7.36962025316456,-0.0514220831846647,0.0153894220043267,0.949877658521017,0.921654043035632,0.978965559772938
7.59367088607595,-0.045806756233373,0.0133752501527474,0.955226535930063,0.930510194955412,0.980599395784881
7.81772151898734,-0.040168710642324,0.0114741719823664,0.960627357421747,0.939264564875106,0.982476028944831
8.04177215189873,-0.0345071574878062,0.00967496580469111,0.966081424945727,0.947934292853715,0.984575963398757
8.26582278481013,-0.0288213078461077,0.00796329847665786,0.971590064476985,0.956543155614992,0.986873668845053
8.48987341772152,-0.023110372793517,0.00632160971150647,0.977154626535305,0.965122031786839,0.989337236858603
8.71392405063291,-0.0173735634063226,0.00472917447868638,0.982776486721295,0.973709041443237,0.991928370533217
8.9379746835443,-0.0116100907608127,0.00316238005665391,0.988457046269401,0.982349275986814,0.994602791698647
9.1620253164557,-0.00581916593327569,0.00159522406715799,0.994197732618423,0.991094089557658,0.997311094837388
9.38607594936709,0,0,1,1,1
9.61012658227848,0.00584814477117418,0.00165176994447103,1.0058652785538,1.00261408646127,1.00912701333686
9.83417721518987,0.0117251167172708,0.00338573222544937,1.01179412534596,1.00510205292571,1.01853075426984
10.0582278481013,0.0176300103380333,0.00522211944294833,1.0177863362951,1.00742206421613,1.02825723511925
10.2822784810127,0.0235618962858438,0.00717680864372249,1.02384167078214,1.00954057521825,1.03834535486931
10.506329113924,0.0295198452130839,0.00926175270740324,1.02995987504227,1.01143165756104,1.04882750729311
10.7303797468354,0.0355029277721354,0.0114854634796044,1.03614068170744,1.01307617447258,1.05973029407003
10.9544303797468,0.0415102146153799,0.013853518693392,1.04238380934678,1.01446087929344,1.07107531514186
11.1784810126582,0.0475407763951994,0.0163690445916448,1.04868896200502,1.01557753329479,1.08287994070064
11.4025316455696,0.0535936837639756,0.0190331483808629,1.05505582873905,1.01642209725758,1.09515801039708
11.626582278481,0.0596680073740901,0.0218452904704324,1.06148408315285,1.01699402105995,1.10792043557198
11.8506329113924,0.0657628178779248,0.0248035962720971,1.06797338293072,1.01729563616576,1.12117569966912
12.0746835443038,0.0718771859278615,0.027905112597064,1.0745233693692,1.0173316450533,1.13493026284468
12.2987341772152,0.0780101821762819,0.0311460159288474,1.08113366690762,1.01710869655374,1.14918888185846
12.5227848101266,0.0841608772755678,0.0345217802998043,1.08780388265758,1.01663503452779,1.16395485787536
12.746835443038,0.0903283418781008,0.0380273120092513,1.09453360593153,1.01592020769605,1.17923022441926
12.9708860759494,0.0965116466362628,0.0416570575213296,1.10132240777059,1.01497482973381,1.19501588642914
13.1949367088608,0.102709862202436,0.0454050898730753,1.10816984047182,1.01381038034637,1.21131171976339
13.4189873417722,0.108922059229001,0.0492651779622496,1.11507543711516,1.01243903963996,1.22811663890375
13.6430379746835,0.11514730836834,0.053230842238013,1.1220387110903,1.01087354954501,1.24542863917236
13.8670886075949,0.121384680272836,0.0572953996051104,1.12905915562362,1.00912709728057,1.26324481854943
14.0911392405063,0.127633245594869,0.0614519997693531,1.1361362433055,1.00721321686621,1.28156138316819
14.3151898734177,0.133892074986822,0.0656936547838631,1.14326942561829,1.00514570551112,1.300373639749
14.5392405063291,0.140160239101077,0.0700132631836135,1.15045813246508,1.00293855236658,1.31967597758798
14.7632911392405,0.146436808590014,0.0744036298025971,1.15770177169967,1.00060587764668,1.33946184220778
14.9873417721519,0.152720854106016,0.078857482137806,1.16499972865796,0.998161880530508,1.35972370238361
15.2113924050633,0.159011446301465,0.0833674839439639,1.17235136569107,0.995620794577611,1.38045301195302
15.4354430379747,0.165307655828742,0.0879262466018945,1.17975602170049,0.992996849639009,1.40164016758416
15.6594936708861,0.171608553340229,0.0925263386929769,1.18721301167557,0.990304239440667,1.42327446350008
15.8835443037975,0.177913209488308,0.0971602941255956,1.19472162623372,0.987557094169328,1.44534404402326
16.1075949367089,0.184220694925361,0.101820619091558,1.20228113116366,0.984769457510041,1.46783585470554
16.3316455696203,0.190530080303769,0.106499798077041,1.20989076697191,0.981955267678692,1.49073559273666
16.5556962025316,0.196840436275914,0.111190299110562,1.2175497484332,0.979128342066723,1.51402765727389
16.779746835443,0.203150968664137,0.115885615720316,1.22525742976285,0.976300512169876,1.53769843452447
17.0037974683544,0.2094615010659,0.120583996565361,1.23301390447599,0.973475002756472,1.56174866773796
17.2278481012658,0.215772033467662,0.125285096813807,1.24081948144187,0.970652497023004,1.58618351083187
17.4518987341772,0.222082565869425,0.129988621420441,1.24867447150159,0.967833575991928,1.61100831223153
17.6759493670886,0.228393098271188,0.134694316409788,1.25657918746403,0.965018736381755,1.63622859830478
17.9,0.234703630672951,0.139401961989726,1.26453394411833,0.962208404747742,1.66185006069103
