"wbc","log_hr","se","hr","hr_lcl","hr_ucl"
1,-0.24820323590612,0.173610397889101,0.780201362233089,0.555170716204647,1.09644501747456
1.0787913816066,-0.242835377537063,0.168874501014779,0.784400633107444,0.563363957082347,1.09216137362764
1.16379084502867,-0.237467519168007,0.164139594102007,0.788622505680194,0.571677005032977,1.08789657619591
1.25548753360959,-0.23209966079895,0.159405765366737,0.792867101600259,0.580111495139021,1.08365072243456
1.35440913097255,-0.226731802429894,0.154673113803084,0.79713454317131,0.58866906902165,1.07942392993909
1.46112489766247,-0.221363944060837,0.149941750877235,0.801424953355293,0.597351372077901,1.07521633980071
1.5762489470491,-0.21599608569178,0.145211802550352,0.805738455775967,0.60616005011037,1.07102812037519
1.70044377934305,-0.210628227322724,0.140483411707278,0.810075174722476,0.615096745206239,1.06685947180816
1.83442409406183,-0.205260368953667,0.135756741089028,0.814435235152919,0.624163090682962,1.06271063149985
1.97896090288539,-0.19989251058461,0.131031976854938,0.818818762697958,0.633360704865894,1.05858188074389
2.13488596656918,-0.194524652215554,0.126309332937496,0.823225883664437,0.642691183393805,1.05447355284449
2.3030965814477,-0.189156793846497,0.121589056402786,0.827656725039019,0.652156089655063,1.05038604310914
2.4845607430734,-0.183788935477441,0.116871434097163,0.832111414491845,0.661756942830914,1.04631982124068
2.68032271670567,-0.178421077108384,0.112156800953565,0.836590080380216,0.671495202848985,1.04227544682546
2.89150904670646,-0.173053218739327,0.107445550459524,0.841092851752289,0.68137225130997,1.03825358885502
3.11933503942444,-0.167685360370271,0.102738147969319,0.845619858350793,0.691389367113397,1.03425505055523
3.36511175687456,-0.162317502001214,0.0980351477990602,0.850171230616775,0.701547695029524,1.03028080127613
3.63025356145932,-0.156949643632157,0.0933372154127399,0.854747099693349,0.711848204774405,1.02633201788537
3.91628625514897,-0.151581781056115,0.0886451634616651,0.859347601044747,0.722291630385943,1.02241015727507
4.22485585995909,-0.146212236629929,0.0839627164513077,0.863974316727342,0.73287570562944,1.0185241702389
4.557738090254,-0.140835113148732,0.0793005926421565,0.868632525972384,0.743590889771616,1.01470106150562
4.91684857138614,-0.135443858676047,0.074670535705475,0.873328191353114,0.754425981232083,1.01097012667366
5.30425386347608,-0.130031921275395,0.0700842099062165,0.878067401441859,0.765369180487525,1.00736008338322
5.7221833537715,-0.124592749010299,0.0655531735072757,0.882856373514059,0.776408120101616,1.00389905266882
6.17304208602143,-0.119119789944282,0.0610888470374265,0.887701456684566,0.787529908356888,1.00061453900084
6.65942460069474,-0.113606492140866,0.0567024749788623,0.892609135491859,0.798721189759619,0.997533405872595
7.18412986568845,-0.108046303663575,0.0524050790416887,0.897586033946449,0.809968226534795,0.994681842993388
7.75017738344727,-0.10243267257593,0.0482074006938679,0.902638920060501,0.821257006316818,0.992085320114368
8.3608245671853,-0.0967590469414547,0.0441198299795831,0.907774710876482,0.83257338263628,0.989768521181368
9.01958548620422,-0.0910188748236711,0.0401523168585142,0.913000478013598,0.843903256575756,0.987755250803717
9.73025108818107,-0.0852056042861019,0.0363142603075341,0.918323453751808,0.85523281019131,0.986068302877673
10.496911014798,-0.0793126833922697,0.0326143692315797,0.92375103767432,0.866548805028883,0.984729278549916
11.3239771362554,-0.0733335602056973,0.0290604878494755,0.929290803890778,0.877838962313783,0.983758337542646
12.2162089401025,-0.067261682789907,0.0256593767346487,0.934950508864684,0.88909244505175,0.983173863293205
13.1787409204881,-0.0610904992084216,0.022416439300342,0.94073809987015,0.900300466022962,0.982992018716482
14.2171121254487,-0.0548134575247637,0.0193353826287345,0.946661724104722,0.911457048749641,0.983226166404999
15.3372980322688,-0.0484240058024557,0.0164178018804301,0.952729738486794,0.922559969596114,0.983886126117625
16.5457449343434,-0.0419155921050205,0.013662680269474,0.958950720168145,0.93361190588143,0.984977245810522
17.8494070374307,-0.0352816644959805,0.0110658034802369,0.965333477794183,0.944621803700474,0.986499273783114
19.2557864787684,-0.0285156710388584,0.00861910060682596,0.971887063546858,0.95560645538863,0.988445043420721
20.7729764993522,-0.0216110597971766,0.00630994524978508,0.978620786007627,0.966592235414965,0.99079902332863
22.4097080178176,-0.0145612788344579,0.00412048082229672,0.985544223880592,0.977616882631684,0.993535846690501
24.1753998739419,-0.00735977621422482,0.00202707003153329,0.992667240618825,0.988731141181824,0.996619009511488
26.0802130309018,0,0,1,1,1
28.1351090482009,0.00752389147505855,0.00199643326322684,1.00755226706684,1.00361740936837,1.01150255206356
30.351913161761,0.0152101534509476,0.00400176658574227,1.01532641654689,1.00739389176294,1.02332140443485
32.7433823341796,0.0230524473260115,0.00605300017170996,1.0233202085484,1.01125139309784,1.03553305970301
35.3232786667627,0.0310443703745481,0.0081820171246946,1.03153127230004,1.01512079656866,1.04820704031452
38.1064485957919,0.0391795198708557,0.0104150916565999,1.03995715986865,1.01894312710418,1.0614045726337
41.1089083287751,0.0474514930892325,0.0127728479128922,1.04859533576725,1.02266985365181,1.07517804916855
