"model","term","predictor_label","comparison_or_unit","beta","se","statistic","df","p_value","hr","hr_lcl","hr_ucl","n_imputations","fmi","riv","lambda","q_value"
"primary_clinical","age5","Age at diagnosis (per 5 years)","per 5-year increase",0.112820751085854,0.0348350106812025,3.23871728125331,669.721317498545,0.00125999112733656,1.11943125812627,1.0454231936934,1.19867853442486,30,0.0215932413916454,0.019031187118,0.018675765137104,
"primary_clinical","sex_stdMale","Male vs Female","Male vs Female",0.0172555125857563,0.076326878153839,0.226073868119922,683.159260607453,0.821211588733342,1.01740524896249,0.875808405609934,1.18189484593442,30,0.00905687263518794,0.00619823404577452,0.0061600525980376,
"primary_clinical","log2_wbc","WBC (per doubling)","per doubling of WBC",0.0800480376331785,0.0180975888933311,4.4231327225405,671.348282866283,1.13467298163854e-05,1.08333910747167,1.0455189366004,1.1225273696081,30,0.020274218791332,0.0176665681709237,0.0173598786905973,
"primary_clinical","risk_group_stdStandard","Standard vs Low risk","Standard vs Low",1.34849034233708,0.10976946978879,12.2847486184614,582.106984212077,5.26052695669467e-31,3.85160653213844,3.10464033225902,4.77829033020944,30,0.0710182684480926,0.0727679434872991,0.0678319518485506,
"primary_clinical","risk_group_stdHigh","High vs Low risk","High vs Low",1.25285045721788,0.130989152711323,9.56453592748204,618.559753092076,2.63147896777071e-20,3.50030622392416,2.7063831281466,4.52712830412624,30,0.0531519880617238,0.0527373727108924,0.0500954692765291,
