"model","term","predictor_label","comparison_or_unit","beta","se","statistic","p_value","hr","hr_lcl","hr_ucl","n","deaths","percent_of_primary_cohort"
"primary_clinical","age5","Age at diagnosis (per 5 years)","per 5-year increase",0.129225909327397,0.0352243875219318,3.66864886570239,0.000243835699530917,1.13794716800968,1.06203553042793,1.21928477916315,1861,670,94.08
"primary_clinical","sex_stdMale","Male vs Female","Male vs Female",0.0150233209350716,0.0775228034141118,0.19379228141196,0.846338530985421,1.01513673827763,0.872041223323359,1.18171316887256,1861,670,94.08
"primary_clinical","log2_wbc","WBC (per doubling)","per doubling of WBC",0.0689039065868051,0.018420976872731,3.74051316946199,0.000183644923110615,1.07133325613262,1.03334328699893,1.11071989351097,1861,670,94.08
"primary_clinical","risk_group_stdStandard","Standard vs Low risk","Standard vs Low",1.38957002620031,0.110499219632063,12.5753831640373,2.88398618525894e-36,4.0131241437362,3.2316587018306,4.98356010921434,1861,670,94.08
"primary_clinical","risk_group_stdHigh","High vs Low risk","High vs Low",1.28744800506115,0.131711187932019,9.77478090718948,1.44469562729105e-22,3.62352752237684,2.79910247276216,4.69077207182978,1861,670,94.08
