workbook,column,token,missing_class,n
TARGET_AML_ClinicalData_Validation_20230720.xlsx,del7q,Unknown,unknown,23
TARGET_AML_ClinicalData_Validation_20230720.xlsx,del9q,,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,del9q,Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,inv(16),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,inv(16),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,monosomy 5,,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,monosomy 5,Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,monosomy 7,,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,monosomy 7,Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(10;11)(p11.2;q23),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(10;11)(p11.2;q23),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(11:19)(q23:p13.1),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(11:19)(q23:p13.1),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(3;5)(q25;q34),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(3;5)(q25;q34),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(6;11)(q27;q23),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(6;11)(q27;q23),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(6;9),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(6;9),Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(8;21),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(8;21),Unknown,unknown,23
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(9;11)(p22;q23),,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,t(9;11)(p22;q23),Unknown,unknown,25
TARGET_AML_ClinicalData_Validation_20230720.xlsx,trisomy 21,,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,trisomy 21,Unknown,unknown,22
TARGET_AML_ClinicalData_Validation_20230720.xlsx,trisomy 8,,structurally_missing,13
TARGET_AML_ClinicalData_Validation_20230720.xlsx,trisomy 8,Unknown,unknown,23
