"time_years","n_risk","n_event","survival","surv_lcl","surv_ucl"
1,1588,336,0.82666005848026,0.809057553915361,0.842800840683187
3,1154,299,0.667623464522261,0.645948303724603,0.688308184970448
5,715,54,0.630949615566576,0.608297244022876,0.652687931828923
10,16,6,0.614696312212931,0.586201881234641,0.641862667055394
